Empresa|Fecha inventario|Almacén|Barcode|Piezas|ID Ubicación|LPN|Fecha caducidad|No. Lote|RDM
SRS|20240830|870|06793568|2|02XA002L2|ILPNVAL0000004945|||
SRS|20240830|870|10089479|1|28RX005L1|ILPNVAL0000039327|||
SRS|20240830|870|10099306|3|28RX006L1|ILPNVAL0000039328|||
SRS|20240830|870|10104844|12|28RX033L4|ILPNVAL0000039296|||
SRS|20240830|870|10105067|14|28RX032L5|ILPNVAL0000039288|||
SRS|20240830|870|10105227|1|28RX036L1|ILPNVAL0000039340|||
SRS|20240830|870|10105307|1|28RX005L1|ILPNVAL0000039327|||
SRS|20240830|870|10105469|24|28RX033L5|ILPNVAL0000039289|||
SRS|20240830|870|10106066|2|28RX034L1|ILPNVAL0000039337|||
SRS|20240830|870|10106413|2|28IX003L2|ILPNVAL0000037425|||
SRS|20240830|870|10106413|2|28IX003L2|ILPNVAL0000037425|||
SRS|20240830|870|10106593|2|28IX002L2|ILPNVAL0000037423|||
SRS|20240830|870|10106824|1|28IX002L2|ILPNVAL0000037423|||
SRS|20240830|870|10106959|1|28IX003L2|ILPNVAL0000037425|||
SRS|20240830|870|10108126|1|28IX031L1|ILPNVAL0000032692|||
SRS|20240830|870|10108840|1|28IX002L2|ILPNVAL0000037423|||
SRS|20240830|870|10108920|2|30OX019L1|ILPNVAL0000033369|||
SRS|20240830|870|10108920|1|30OX038L3|ILPNVAL0000037350|||
SRS|20240830|870|10108920|1|30OX004L3|ILPNVAL0000037335|||
SRS|20240830|870|10108920|2|30OX039L2|ILPNVAL0000037363|||
SRS|20240830|870|10108993|2|30MX007L2|ILPNVAL0000032359|||
SRS|20240830|870|10108993|2|30NX007L1|ILPNVAL0000039007|||
SRS|20240830|870|10109296|2|30NX007L2|ILPNVAL0000032420|||
SRS|20240830|870|10109296|2|30PX021L2|ILPNVAL0000032442|||
SRS|20240830|870|10110177|1|30PX020L4|ILPNVAL0000032443|||
SRS|20240830|870|10110177|2|30NX034L2|ILPNVAL0000032421|||
SRS|20240830|870|10110177|1|30OX007L2|ILPNVAL0000037314|||
SRS|20240830|870|10135946|17|31KX002L0|ILPNVAL0000034169|||
SRS|20240830|870|10135962|19|31KX002L0|ILPNVAL0000034169|||
SRS|20240830|870|10135988|4|31KX002L0|ILPNVAL0000034169|||
SRS|20240830|870|10135996|2|31KX002L0|ILPNVAL0000034169|||
SRS|20240830|870|10135996|4|31KX002L0|ILPNVAL0000034169|||
SRS|20240830|870|10206896|1|72CD400L0|ILPNVAL0000030961|||
SRS|20240830|870|10206903|1|72CD400L0|ILPNVAL0000030951|||
SRS|20240830|870|10206912|1|72CD400L0|ILPNVAL0000030951|||
SRS|20240830|870|10206921|1|72CD400L0|ILPNVAL0000030961|||
SRS|20240830|870|10206967|1|72CD400L0|ILPNVAL0000030945|||
SRS|20240830|870|10206985|1|72CD400L0|ILPNVAL0000030961|||
SRS|20240830|870|10207171|1|72CD400L0|ILPNVAL0000030898|||
SRS|20240830|870|10207171|1|72CD400L0|ILPNVAL0000030898|||
SRS|20240830|870|10207171|1|72CD400L0|ILPNVAL0000030898|||
SRS|20240830|870|10207251|1|72CD400L0|ILPNVAL0000030891|||
SRS|20240830|870|10207251|1|72CD400L0|ILPNVAL0000030891|||
SRS|20240830|870|10207251|1|72CD400L0|ILPNVAL0000030891|||
SRS|20240830|870|10207251|1|72CD400L0|ILPNVAL0000030891|||
SRS|20240830|870|10207251|1|72CD400L0|ILPNVAL0000030891|||
SRS|20240830|870|10207251|1|72CD400L0|ILPNVAL0000030891|||
SRS|20240830|870|10207279|1|72CD400L0|ILPNVAL0000030891|||
SRS|20240830|870|10207279|1|72CD400L0|ILPNVAL0000030891|||
SRS|20240830|870|10207331|1|72CD400L0|ILPNVAL0000030891|||
SRS|20240830|870|10207331|1|72CD400L0|ILPNVAL0000030891|||
SRS|20240830|870|10207331|1|72CD400L0|ILPNVAL0000030891|||
SRS|20240830|870|10207331|1|72CD400L0|ILPNVAL0000030891|||
SRS|20240830|870|10207331|1|72CD400L0|ILPNVAL0000030891|||
SRS|20240830|870|10207340|1|72CD400L0|ILPNVAL0000030898|||
SRS|20240830|870|10207340|1|72CD400L0|ILPNVAL0000030898|||
SRS|20240830|870|10207359|1|72CD400L0|ILPNVAL0000030898|||
SRS|20240830|870|10207359|1|72CD400L0|ILPNVAL0000030898|||
SRS|20240830|870|10207359|1|72CD400L0|ILPNVAL0000030891|||
SRS|20240830|870|10207359|1|72CD400L0|ILPNVAL0000030891|||
SRS|20240830|870|10207359|1|72CD400L0|ILPNVAL0000030891|||
SRS|20240830|870|10207359|1|72CD400L0|ILPNVAL0000030891|||
SRS|20240830|870|10207359|1|72CD400L0|ILPNVAL0000030891|||
SRS|20240830|870|10207368|1|72CD400L0|ILPNVAL0000030891|||
SRS|20240830|870|10207420|1|72CD400L0|ILPNVAL0000030921|||
SRS|20240830|870|10207420|1|72CD400L0|ILPNVAL0000030921|||
SRS|20240830|870|10207448|1|72CD400L0|ILPNVAL0000030884|||
SRS|20240830|870|10207457|1|72CD400L0|ILPNVAL0000030921|||
SRS|20240830|870|10207457|1|72CD400L0|ILPNVAL0000030921|||
SRS|20240830|870|10207457|1|72CD400L0|ILPNVAL0000030921|||
SRS|20240830|870|10207457|1|72CD400L0|ILPNVAL0000030921|||
SRS|20240830|870|10207457|1|72CD400L0|ILPNVAL0000030921|||
SRS|20240830|870|10207457|1|72CD400L0|ILPNVAL0000030921|||
SRS|20240830|870|10207466|1|72CD400L0|ILPNVAL0000030921|||
SRS|20240830|870|10207493|1|72CD400L0|ILPNVAL0000030921|||
SRS|20240830|870|10207493|1|72CD400L0|ILPNVAL0000030921|||
SRS|20240830|870|10208732|1|72CD400L0|ILPNVAL0000030926|||
SRS|20240830|870|10208732|1|72CD400L0|ILPNVAL0000030926|||
SRS|20240830|870|10291786|3|17CX016L0|ILPNVAL0000002950|||
SRS|20240830|870|10291786|1|35RR001L0|ILPNVAL0000034203|||
SRS|20240830|870|10304655|1|47AA060L2|ILPNVAL0000034275|||
SRS|20240830|870|10305476|4|47AA060L3|ILPNVAL0000034276|||
SRS|20240830|870|10305887|3|47AA060L3|ILPNVAL0000034276|||
SRS|20240830|870|10306340|7|47AB012L3|ILPNVAL0000034539|||
SRS|20240830|870|10306902|3|47AA061L3|ILPNVAL0000034273|||
SRS|20240830|870|10307661|5|47AB013L3|ILPNVAL0000034542|||
SRS|20240830|870|10369434|12|30QX009L4|ILPNVAL0000037143|||
SRS|20240830|870|10453226|1|72CD400L0|ILPNVAL0000030944|||
SRS|20240830|870|10453253|1|72CD400L0|ILPNVAL0000030958|||
SRS|20240830|870|10453253|1|72CD400L0|ILPNVAL0000030931|||
SRS|20240830|870|10453253|1|72CD400L0|ILPNVAL0000030923|||
SRS|20240830|870|10453253|1|72CD400L0|ILPNVAL0000030923|||
SRS|20240830|870|10453253|1|72CD400L0|ILPNVAL0000030923|||
SRS|20240830|870|10453253|1|72CD400L0|ILPNVAL0000030923|||
SRS|20240830|870|10453253|1|72CD400L0|ILPNVAL0000030894|||
SRS|20240830|870|10453262|1|72CD400L0|ILPNVAL0000030923|||
SRS|20240830|870|10453262|1|72CD400L0|ILPNVAL0000030923|||
