company_code,facility_code,lpn_nbr,receipt_ts,location_barcode,lock_code,pallet_nbr,pallet_position
SEARS,VAL,LPN123447690,,1234567890122,,,
SRS,VAL,LPN123447690,,1234567890133,,,
SEARS,VAL,LPN123447690,,1234567890134,,,
SRS,VAL,LPN123447690,,1234567890125,,,
SEARS,870,LPN123447698,,1234567890122,,,
SRS,870,LPN123447698,,1234567890123,,,
SEARS,870,LPN123447698,,1234567890124,,,
SRS,870,LPN123447698,,1234567890125,,,
SEARS,VAL,LPN123447699,,1234567890122,,,
SRS,VAL,LPN123447699,,1234567890123,,,
SEARS,VAL,LPN123447699,,1234567890124,,,
SRS,VAL,LPN123447699,,1234567890125,,,
