Empresa,Fecha inventario,Almacén,Barcode,Piezas,ID Ubicación,LPN,Fecha caducidad,No. Lote,RDM
SRS,8302024,870,83112583,1,27AX000L0,ILPNVAL0000007037, , ,876585
SRS,8302024,870,35147538,1,27AX000L0,ILPNVAL0000007034, , ,876606
SRS,8302024,870,52900486,1,27AX000L0,ILPNVAL0000007039, , ,876592
SRS,8302024,870,7425524,1,27AX000L0,ILPNVAL0000007035, , ,876583
SRS,8302024,870,47518427,1,27AX000L0,ILPNVAL0000007032, , ,B3ILPNVAL0000007032
SRS,8302024,870,97327067,1,27AX000L0,ILPNVAL0000007033, , ,153900
SRS,8302024,870,54963325,1,27AX000L0,ILPNVAL0000007041, , ,5722
SRS,8302024,870,83040713,1,27AX000L0,ILPNVAL0000007029, , ,153994
SRS,8302024,870,83032080,1,27AX000L0,ILPNVAL0000007030, , ,153993
SRS,8302024,870,96317230,1,27AX000L0,ILPNVAL0000007040, , ,960055
SRS,8302024,870,663929,1,27AX000L0,ILPNVAL0000007038, , ,876605
SRS,8302024,870,5390539,1,27AX000L0,ILPNVAL0000007036, , ,876435
SRS,8302024,870,95897400,1,27AX000L0,ILPNVAL0000007031, , ,153995
SRS,8302024,870,925128,1,43AL223L0,ILPNVAL0000006929, , ,146301
SRS,8302024,870,78083955,1,43AL223L0,ILPNVAL0000006898, , ,150198
SRS,8302024,870,25626280,1,43AL223L0,ILPNVAL0000006905, , ,153634
SRS,8302024,870,60845727,1,43AL223L0,ILPNVAL0000006902, , ,148353
SRS,8302024,870,37482092,1,43AL223L0,ILPNVAL0000006915, , ,143909
SRS,8302024,870,4949189,1,43AL223L0,ILPNVAL0000006897, , ,149729
SRS,8302024,870,19599581,1,43AL223L0,ILPNVAL0000006901, , ,142962
SRS,8302024,870,8826656,1,43AL223L0,ILPNVAL0000006896, , ,149342
SRS,8302024,870,51804181,1,43AL223L0,ILPNVAL0000006923, , ,145983
SRS,8302024,870,4880044,1,43AL223L0,ILPNVAL0000006885, , ,151689
SRS,8302024,870,2431766,1,43AL223L0,ILPNVAL0000006908, , ,151904
SRS,8302024,870,81738223,1,43AL223L0,ILPNVAL0000006900, , ,144425
SRS,8302024,870,15183894,1,43AL223L0,ILPNVAL0000006928, , ,153332
SRS,8302024,870,92729981,1,43AL223L0,ILPNVAL0000006927, , ,143169
SRS,8302024,870,91922764,1,43AL223L0,ILPNVAL0000007103, , ,876064
SRS,8302024,870,30760697,1,43AL223L0,ILPNVAL0000006917, , ,144701
SRS,8302024,870,4382842,1,43AL223L0,ILPNVAL0000006924, , ,153550
SRS,8302024,870,78084687,1,43AL223L0,ILPNVAL0000006916, , ,147830
SRS,8302024,870,24883192,1,43AL223L0,ILPNVAL0000006894, , ,142979
SRS,8302024,870,19521261,1,43AL223L0,ILPNVAL0000006888, , ,149832
SRS,8302024,870,5262572,1,43AL223L0,ILPNVAL0000006914, , ,144374
SRS,8302024,870,55414247,1,43AL223L0,ILPNVAL0000006906, , ,153633
SRS,8302024,870,30758744,1,43AL223L0,ILPNVAL0000006920, , ,149051
SRS,8302024,870,30758879,1,43AL223L0,ILPNVAL0000006918, , ,148617
SRS,8302024,870,26077210,1,43AL223L0,ILPNVAL0000006907, , ,151089
SRS,8302024,870,84285805,1,43AL223L0,ILPNVAL0000006903, , ,150766
SRS,8302024,870,24883192,1,43AL223L0,ILPNVAL0000006893, , ,150086
SRS,8302024,870,53196700,1,43AL223L0,ILPNVAL0000006904, , ,150765
SRS,8302024,870,32567198,1,43AL223L0,ILPNVAL0000006910, , ,152406
SRS,8302024,870,24883192,1,43AL223L0,ILPNVAL0000006889, , ,144026
SRS,8302024,870,30665960,1,43AL223L0,ILPNVAL0000006921, , ,145598
