Empresa,Fecha inventario,Almacén,Barcode,Piezas,ID Ubicación,LPN,Fecha caducidad,No. Lote,RDM
SRS,20240830,840,46604915,1,04BE006L0,ILPNCIG0000005544, , ,876575
SRS,20240830,840,4806107,1,04BE006L0,ILPNCIG0000005541, , ,153842
SRS,20240830,840,41062706,1,04BE006L0,ILPNCIG0000005538, , ,153605
SRS,20240830,840,68483890,1,04BE006L0,ILPNCIG0000005534, , ,153721
SRS,20240830,840,83087674,1,04BE006L0,ILPNCIG0000005533, , ,876588
SRS,20240830,840,19952395,4,04BE006L0,ILPNCIG0000005507, , ,153865
SRS,20240830,840,83060166,1,04BE006L0,ILPNCIG0000004534, , ,570050
SRS,20240830,840,8011223,1,04BE006L0,ILPNCIG0000004532, , ,152229
SRS,20240830,840,58752322,2,04BE006L0,ILPNCIG0000004535, , ,876227
SRS,20240830,840,52303863,2,04BE007L0,ILPNCIG0000006332, , ,153904
SRS,20240830,840,65007463,1,04BE007L0,ILPNCIG0000006314, , ,152266
SRS,20240830,840,32567198,1,07AL012L0,ILPNCIG0000004562, , ,152602
SRS,20240830,840,8114209,1,07AL012L0,ILPNCIG0000004570, , ,152804
SRS,20240830,840,28392867,1,07AL012L0,ILPNCIG0000004595, , ,152599
SRS,20240830,840,50664898,1,07AL013L0,ILPNCIG0000005018, , ,152991
SRS,20240830,840,4880044,1,07AL013L0,ILPNCIG0000005024, , ,150157
SRS,20240830,840,513493,1,07AL013L0,ILPNCIG0000005036, , ,152664
SRS,20240830,840,26077309,1,07AL013L0,ILPNCIG0000005037, , ,152661
SRS,20240830,840,5262572,1,07AL014L0,ILPNCIG0000004758, , ,150580
SRS,20240830,840,8114340,1,07AL014L0,ILPNCIG0000005068, , ,151638
SRS,20240830,840,7822358,1,07AL014L0,ILPNCIG0000005073, , ,151505
SRS,20240830,840,8740799,2,11BH001L0,ILPNCIG0000006713, , ,150490
SRS,20240830,840,891950,1,11BH001L0,ILPNCIG0000006709, , ,150494
SRS,20240830,840,63332329,1,11BH001L0,ILPNCIG0000006700, , ,152286
SRS,20240830,840,41521282,1,11BH001L0,ILPNCIG0000006688, , ,152924
SRS,20240830,840,79525154,1,11BH001L0,ILPNCIG0000006683, , ,153302
